"Work item ID","Work type","Summary","Description","Parent","Original ID","Module","Role","Priority","Story Points","Status","Assignee","Original Assignee","Labels"
"1","Epic","Home","Landing page publica: presentacion del negocio, tecnicas ofrecidas y llamado a la accion para agendar.","","","","","","","","","",""
"2","Epic","About","Seccion de la landing dedicada a presentar a la administradora del negocio.","","","","","","","","","",""
"3","Epic","Gallery","Galeria publica de resultados (antes/despues) gestionada desde el CMS.","","","","","","","","","",""
"4","Epic","Loyalty","Programa de fidelidad: seccion informativa y motor de conteo/niveles/beneficios.","","","","","","","","","",""
"5","Epic","Blog","Creacion, listado y lectura de publicaciones de blog.","","","","","","","","","",""
"6","Epic","Reservations - Admin","Administracion del catalogo de tecnicas, disponibilidad, anticipos, agenda diaria y cierre de citas.","","","","","","","","","",""
"7","Epic","Reservations - Client","Flujo de agendamiento, reagendado y cancelacion de citas por parte del cliente.","","","","","","","","","",""
"8","Epic","Notifications","Notificaciones y recordatorios automaticos hacia clientes y administradora (reservas, cancelaciones, pagos, re-aplicacion, inactividad).","","","","","","","","","",""
"9","Epic","Clients","Gestion de clientes: ficha, historial de citas, anotaciones y expediente/estudio inicial.","","","","","","","","","",""
"10","Epic","Products","Catalogo de productos de mantenimiento y paquetes de servicios combinados.","","","","","","","","","",""
"11","Epic","Promotions","Promociones sobre servicios o paquetes.","","","","","","","","","",""
"12","Epic","Shopping Cart","Carrito de compras y checkout de productos.","","","","","","","","","",""
"13","Epic","Delinquencies","Deteccion, bloqueo, regularizacion y control historico de morosidad de clientes.","","","","","","","","","",""
"14","Epic","Auth","Autenticacion de administradora (usuario/contrasena) y clientes (Google).","","","","","","","","","",""
"15","Story","Pagina de inicio atractiva del negocio","User Story:
Como visitante del sitio, quiero ver una pagina de inicio atractiva que presente el negocio, para conocer rapidamente los servicios que ofrece.

Acceptance Criteria:
• La seccion incluye imagen principal, texto de bienvenida y llamado a la accion para agendar.
• El diseno es responsivo en movil y escritorio.
• El contenido es editable desde el CMS.","1","US-LAND-01","Landing","Cliente Anónimo","High","3","To Do","","...","Landing"
"16","Story","Visualizar tecnicas disponibles con precio y duracion","User Story:
Como visitante del sitio, quiero ver las tecnicas disponibles junto con su explicacion y resultados, para decidir que servicio se ajusta a lo que busco.

Acceptance Criteria:
• Cada tecnica muestra imagen, descripcion y ejemplos de resultados.
• Cada tecnica muestra su precio y su duracion estimada, tomados del catalogo administrado por la administradora.
• Cuando una tecnica tiene precio distinto para primera vez y para retoque, se muestran ambos.
• El listado se obtiene del catalogo administrado por la administradora.
• Incluye enlace directo para agendar la tecnica seleccionada.","1","US-LAND-02","Landing","Cliente Anónimo","High","5","To Do","","...","Landing"
"17","Story","Informacion de contacto, ubicacion y horario de atencion","User Story:
Como visitante del sitio, quiero encontrar como contactar al negocio, donde esta y en que horario atiende, para resolver dudas o llegar a mi cita sin buscar la informacion en otro lado.

Acceptance Criteria:
• La seccion muestra el horario de atencion, la ubicacion o zona de atencion y los medios de contacto.
• Existe un boton de contacto directo por WhatsApp con mensaje inicial predefinido.
• Se incluyen enlaces a las redes sociales del negocio, con Instagram como canal principal.
• Todo el contenido de la seccion es editable desde el CMS.
• La seccion es accesible desde la navegacion principal y desde el pie de pagina.","1","US-LAND-07","Landing","Cliente Anónimo","High","3","To Do","","...","Landing"
