"Work item ID","Work type","Summary","Description","Parent","Original ID","Module","Role","Priority","Story Points","Status","Assignee","Original Assignee","Labels"
"66","Epic","Platform","Fundacion tecnica: modelo de datos, CI, seguridad RLS, bitacora, respaldos e integracion con el CMS externo.","","","","","","","","","",""
"67","Epic","Payments","Registro de pagos y cargos: ledger append-only, comprobantes y exportacion tabular.","","","","","","","","","",""
"68","Story","Bitacora de auditoria del sistema","User Story:
Como administradora del negocio, quiero que toda accion sensible quede registrada en una bitacora, para poder revisar despues quien hizo que y cuando.

Acceptance Criteria:
• Existe una bitacora append-only: los registros no se editan ni se borran jamas.
• Cada registro guarda: fecha y hora UTC, actor, accion, entidad afectada y detalle.
• Quedan en bitacora como minimo: exoneracion de anticipo (US-AGE-13), cancelacion con consecuencia economica (US-AGE-06), cierre y cambios de estado de cita (US-AGE-12), acceso al expediente (US-CLI-04), bloqueos y excepciones de morosidad (US-MOR-02/05), rechazo de reservas (US-AGE-15).
• La administradora puede consultar la bitacora filtrando por cliente, accion y rango de fechas.
• La bitacora no es accesible para clientes.","66","US-TEC-01","Platform","Administrador","High","5","To Do","","","Platform"
"69","Story","Modelo de datos base y datos semilla","User Story:
Como equipo de desarrollo, queremos el modelo de datos inicial y datos semilla, para que toda feature construya sobre el mismo esquema.

Acceptance Criteria:
• Migraciones versionadas forward-only en supabase/migrations (INT-008), una por PR.
• Toda tabla lleva el prefijo de su feature duena (ARCH-006).
• Todo instante es timestamptz UTC (DOM-003); todo monto es entero de colones (DOM-001, ADR-0004).
• Existe la tabla de recursos con el recurso unico sembrado (ADR-0005).
• Los seeds crean datos realistas de desarrollo: tecnicas del catalogo real, clientas de prueba, citas en varios estados y volumen suficiente para probar paginacion.
• Ningun dato real de clientas en seeds.","66","US-TEC-02","Platform","Desarrollador","High","5","To Do","","","Platform"
"70","Story","Pipeline de CI y comando de verificacion local","User Story:
Como equipo de desarrollo, queremos que cada PR pase por los mismos checks automaticos que corren localmente, para que las reglas del proyecto se cumplan sin depender de memoria.

Acceptance Criteria:
• scripts/verify.sh corre localmente y en CI con identico resultado (ya existe; esta historia lo conecta al proyecto de codigo).
• El job de tests reales (marcador job-tests-reales) queda agregado a ci.yml con las pruebas unitarias del proyecto.
• El pre-commit hook queda documentado en el README de onboarding y su instalacion verificada por cada dev.
• Un PR con violacion de regla falla citando el ID de regla, su racional y su documento.","66","US-TEC-03","Platform","Desarrollador","High","3","To Do","","","Platform"
"71","Story","Harness de pruebas de aislamiento RLS","User Story:
Como equipo de desarrollo, queremos una infraestructura de pruebas que verifique el aislamiento RLS de cada tabla, para que ninguna clienta pueda leer o escribir datos de otra.

Acceptance Criteria:
• Existe un harness que levanta Supabase local en CI y ejecuta pruebas de aislamiento (SEC-002).
• Cada prueba intenta, con token valido de otra clienta, leer Y escribir datos ajenos, y verifica que cada intento falla.
• Toda tabla nueva con RLS exige su prueba de aislamiento antes de merge; el PR template lo lista.
• El harness corre en el job de tests de ci.yml.
• Las politicas del expediente (US-CLI-04) tienen ademas prueba de que un cliente autenticado NO accede aunque sea el dueno del expediente (solo administradora, SEC-006).","66","US-TEC-04","Platform","Desarrollador","High","8","To Do","","","Platform"
"72","Story","Respaldos y verificacion de restauracion","User Story:
Como administradora del negocio, quiero que los datos tengan respaldo verificado, para no perder la operacion del estudio ante una falla.

Acceptance Criteria:
• Los respaldos automaticos de Supabase quedan configurados y documentados (frecuencia y retencion).
• Existe un procedimiento escrito de restauracion, probado al menos una vez contra un entorno local, con el resultado documentado.
• El procedimiento incluye las imagenes de Storage (expedientes, comprobantes), no solo la base.","66","US-TEC-05","Platform","Administrador","Medium","3","To Do","","","Platform"
"73","Story","Contrato e integracion con el CMS externo","User Story:
Como equipo de desarrollo, queremos un gateway unico hacia el CMS externo, para que la landing y el blog consuman contenido sin acoplarse a su esquema interno.

Acceptance Criteria:
• El contrato de docs/contracts/cms-api.md pasa de borrador a vigente con los datos reales confirmados (URL, auth, tipos de contenido, invalidacion).
• El token del API del CMS vive server-only; jamas llega al cliente (SEC-004).
• La feature content expone el contenido tipado por su entry point; ninguna otra feature llama al CMS directo (ARCH-005).
• El endpoint publico entrega solo contenido publicado; los borradores jamas salen.
• Si el CMS no responde, las paginas publicas degradan con contenido cacheado o fallback estatico, nunca con error visible (ADR-0001).","66","US-CMS-01","Platform","Desarrollador","High","5","To Do","","","Platform"
"74","Story","Ledger append-only y saldos derivados","User Story:
Como administradora del negocio, quiero que cargos y pagos queden en un libro inmutable, para que el saldo de cada clienta sea confiable y auditable.

Acceptance Criteria:
• Existe el ledger append-only: cargos y pagos como asientos; correcciones como contra-asientos, jamas UPDATE o DELETE (DOM-005).
• El saldo de una clienta se calcula sumando asientos; no existe columna de saldo editable.
• Cada asiento referencia su origen (cita, pedido, regularizacion) y queda en bitacora su creacion (US-TEC-01).
• Los montos son enteros de colones dentro del value object Money (DOM-001).
• Prueba automatizada: un contra-asiento corrige sin alterar el asiento original.","67","US-PAG-02","Payments","Administrador","High","5","To Do","","","Payments"
"75","Story","Registrar pago con comprobante","User Story:
Como administradora del negocio, quiero registrar los pagos de mis clientas con su comprobante, para que anticipos y saldos reflejen la realidad sin depender de mi memoria.

Acceptance Criteria:
• La administradora puede registrar un pago manual (efectivo o verificado por fuera) indicando monto, fecha y cita u origen (decision 6c del bootstrap).
• La clienta puede subir comprobante de transferencia o SINPE; el pago queda pendiente de aprobacion hasta que la administradora lo confirme.
• El comprobante se valida server-side por contenido real, no por extension (DOM-008), y se guarda en Storage privado sin URL publica.
• Al aprobar, el pago entra al ledger (US-PAG-02) y descuenta del saldo; el anticipo pagado queda congelado en la cita (US-AGE-13).
• Rechazar un comprobante notifica a la clienta con el motivo.","67","US-PAG-01","Payments","Administrador","High","5","To Do","","","Payments"
"76","Story","Exportacion tabular del ledger","User Story:
Como administradora del negocio, quiero exportar los movimientos a un archivo tabular, para entregar la informacion a quien lleva mi facturacion sin trabajo manual.

Acceptance Criteria:
• Exporta el ledger a CSV con: fecha, clienta, tipo de asiento, monto, origen y referencia.
• Filtrable por rango de fechas antes de exportar.
• El archivo abre correctamente en Excel/Sheets (codificacion y separadores correctos).
• La exportacion queda registrada en bitacora.
• Nota de alcance: la facturacion electronica es externa (ROADMAP); este export es el puente.","67","US-PAG-03","Payments","Administrador","Medium","3","To Do","","","Payments"
"77","Story","Aprobacion manual de reservas","User Story:
Como administradora del negocio, quiero aprobar o rechazar cada reserva entrante, para tener control total de quien entra a mi agenda (decision 8b, ADR-0003).

Acceptance Criteria:
• Toda reserva de clienta nace en estado pendiente de aprobacion y OCUPA su espacio desde ese instante (el constraint de US-AGE-09 la incluye).
• La administradora aprueba o rechaza desde el panel; aprobar dispara el flujo de confirmacion (US-NOT-08) y anticipo (US-AGE-13).
• Rechazar libera el espacio de inmediato, notifica a la clienta con motivo opcional y queda en bitacora.
• Las pendientes se destacan en la agenda diaria (US-AGE-11); pasado el plazo configurado sin resolver, se destacan mas. Ninguna se auto-aprueba ni auto-rechaza (DOM-012).
• La clienta ve en todo momento el estado de su solicitud.","6","US-AGE-15","Administración","Administrador","High","5","To Do","","","Administracion"
"78","Story","Agendar en nombre de una clienta","User Story:
Como administradora del negocio, quiero crear una cita en nombre de una clienta, para atender a quien me escribe por WhatsApp o llega sin usar la plataforma.

Acceptance Criteria:
• La administradora selecciona clienta existente (o la crea via US-CLI-05) y agenda igual que el flujo normal, sin pasar por aprobacion.
• La reserva respeta el constraint de no-solape y congela precio y anticipo como cualquier otra (DOM-002).
• Si la clienta tiene morosidad activa, el sistema lo advierte y la administradora puede autorizar la excepcion en el momento; la excepcion queda en bitacora (US-MOR-02).
• La clienta recibe la misma confirmacion y recordatorios que una reserva propia.","6","US-AGE-14","Administración","Administrador","Medium","3","To Do","","","Administracion"
"79","Story","Canal de notificaciones con registro de envios","User Story:
Como equipo de desarrollo, queremos una abstraccion unica de canal de notificaciones, para que las historias de recordatorios no dependan del proveedor (ADR-0006).

Acceptance Criteria:
• Existe el puerto NotificationChannel con implementaciones: WhatsApp via Twilio y correo electronico como respaldo.
• Ninguna historia de notificaciones habla con un proveedor directamente; todas usan el puerto (US-NOT-08 lo exige).
• Todo envio queda registrado: intento, exito, fallo y reintentos, consultable por la administradora.
• Los reintentos ante fallo son responsabilidad del canal, con limite configurado.
• Credenciales server-only, jamas en el repo (SEC-004).
• En desarrollo y pruebas se usa el sandbox de Twilio; ningun mensaje real a clientas desde entornos no productivos.","8","US-NOT-09","Notificaciones","Desarrollador","High","5","To Do","","","Notificaciones"
